Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
31-Dec-15,Louisiana,New Orleans,1900 block of Amelia Street,0,6,N/A
27-Dec-15,Tennessee,Jackson,North Parkway,0,4,N/A
26-Dec-15,Pennsylvania,Philadelphia,4210 Macalester St,0,4,N/A
25-Dec-15,Florida,Jacksonville,Franklin and Odessa,0,4,N/A
25-Dec-15,Alabama,Mobile,785 Schillinger Rd S,0,4,N/A
21-Dec-15,California,San Leandro,14600 block of East 14th Street,0,4,N/A
20-Dec-15,Florida,Golden Glades,NE 166th St and NE 7th Ave,0,4,N/A
20-Dec-15,North Carolina,Wilmington,11th and Castle Street,1,4,N/A
20-Dec-15,Florida,Miami (Goulds),21630 Southwest 120th Avenue,1,4,N/A
13-Dec-15,California,Los Angeles,5550 S. Flower Street,1,3,N/A
13-Dec-15,California,Huntington Beach,17000 block of Keelson Lane,0,4,N/A
12-Dec-15,Georgia,Savannah,Whitaker Street,0,4,N/A
12-Dec-15,Illinois,Lovejoy (Brooklyn),307 Jefferson St,1,3,N/A
11-Dec-15,Maryland,Baltimore,5100 block of Park Heights Avenue,1,3,N/A
11-Dec-15,Pennsylvania,Pittsburgh (Mount Oliver),200 block of  Brownsville Road,0,4,N/A
8-Dec-15,Ohio,Cincinnati (Fairmount),2300 block of Baltimore Avenue,1,3,N/A
6-Dec-15,Louisiana,Raceland,Market Street,1,3,N/A
6-Dec-15,Nebraska,Omaha,North 108th Street and Military Road,2,3,N/A
2-Dec-15,California,San Bernardino,1365 South Waterman Avenue,16,19,N/A
2-Dec-15,Georgia,Savannah,100 block of West 33rd Street,1,3,N/A
29-Nov-15,Illinois,Kankakee,648 E Court St,0,5,N/A
27-Nov-15,Colorado,Colorado Springs,3480 Centennial Blvd,3,9,N/A
27-Nov-15,California,Sacramento,7900 block of Florin Road,2,2,N/A
24-Nov-15,South Carolina,Horry (county),1321 Colletta Court,0,4,N/A
23-Nov-15,Ohio,Columbus,90 block of S. Terrace Avenue,4,1,N/A
23-Nov-15,Minnesota,Minneapolis,Morgan Avenue North,0,5,N/A
22-Nov-15,Texas,Brownsville,1800 block of FM 802,0,4,N/A
22-Nov-15,Washington,Seattle,Broadway and Pike,0,4,N/A
22-Nov-15,New York,Newburgh,203 Broadway,0,5,N/A
22-Nov-15,South Carolina,North Charleston,Park Circle,1,3,N/A
22-Nov-15,Illinois,Chicago,4100 block of West Roosevelt,0,4,N/A
22-Nov-15,Louisiana,New Orleans,1900 block of Gallier Street,0,17,N/A
21-Nov-15,Maryland,Baltimore,Stricker and School,1,3,N/A
20-Nov-15,Pennsylvania,Pittsburgh,Prospect Drive,1,3,N/A
18-Nov-15,California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,0,5,N/A
16-Nov-15,Alabama,Cedar Bluff,1460 County Rd 664,3,1,N/A
15-Nov-15,Texas,Tennessee Colony,800 block of An County Rd 2217,5,0,N/A
15-Nov-15,Pennsylvania,Philadelphia,5600 block of Blakemore Street,0,4,N/A
14-Nov-15,Pennsylvania,Johnstown,1159 Main St,0,4,N/A
13-Nov-15,Florida,Jacksonville,1300 block of South Shirley Oaks Drive,4,1,N/A
9-Nov-15,Indiana,Indianapolis,400 block of North Beville Ave,2,2,N/A
8-Nov-15,Iowa,Des Moines,4397 NW 6th Drive,1,3,N/A
8-Nov-15,Michigan,Warren,13859 8 Mile Road,0,4,N/A
7-Nov-15,Colorado,Denver,Bayaud and Bannock,1,3,N/A
6-Nov-15,California,Bakersfield,1000 block of Feliz Drive,0,4,N/A
3-Nov-15,Florida,Jacksonville,Ella Street and Kings Road,2,3,N/A
2-Nov-15,South Carolina,Pendleton,2217 Refuge Road,4,0,N/A
28-Oct-15,Louisiana,Houma,400 block of Morgan Street,1,3,N/A
27-Oct-15,Texas,Fort Worth,1700 block of Southcrest Drive,0,5,N/A
26-Oct-15,Indiana,Evansville,711 E Virginia St,0,5,N/A
25-Oct-15,North Carolina,Four Oaks,2339 Stricklands Crossroads Road,0,5,N/A
25-Oct-15,Arizona,Phoenix,Seventh Street and Broadway,1,4,N/A
25-Oct-15,District of Columbia,Washington,4300 block of Wheeler Road SE,0,5,N/A
24-Oct-15,South Carolina,Bamberg,682 Dixie Ave.,0,4,N/A
22-Oct-15,Tennessee,Nashville,3500 John A. Merritt Blvd,1,3,N/A
19-Oct-15,Illinois,Calumet City,300 Campbell Avenue,0,6,N/A
18-Oct-15,Louisiana,New Orleans,2600 block of Caffin Avenue,0,4,N/A
17-Oct-15,Indiana,Elkhart,160 Easy Shopping Place,0,4,N/A
17-Oct-15,Florida,Fort Myers,2224 First St,1,4,N/A
12-Oct-15,Georgia,Decatur,4731 Glenwood Road,0,4,N/A
10-Oct-15,Tennessee,Memphis,6135 Mount Moriah Road,0,6,N/A
10-Oct-15,North Carolina,Charlotte,1900 block of West Boulevard,0,4,N/A
10-Oct-15,Illinois,Peoria,2405 N Flora,1,3,N/A
9-Oct-15,Arizona,Flagstaff,216 E Mountain View Dr,1,3,N/A
6-Oct-15,Maryland,Baltimore,300 block of North Payson Street,0,5,N/A
2-Oct-15,Maryland,Baltimore,5400 Reisterstown Road,1,4,N/A
1-Oct-15,Oregon,Roseburg,1140 Umpqua College Rd,10,9,N/A
28-Sep-15,Ohio,Cincinnati (Evanston),1800 block of Hewitt Avenue,0,5,N/A
28-Sep-15,Illinois,Chicago,300 block of West 42nd Street,3,2,N/A
28-Sep-15,Illinois,Chicago,5300 block of South Aberdeen Street,2,3,N/A
28-Sep-15,Ohio,Dayton,1921 Oakridge,0,4,N/A
27-Sep-15,Georgia,Greenville,1140 Hill Haven Road,0,10,N/A
27-Sep-15,Illinois,Chicago,5200 block of South Justine,0,4,N/A
27-Sep-15,Missouri,Kansas City,1700 E. 18th St.,0,4,N/A
25-Sep-15,Illinois,Danville,1300 block of May Street,0,4,N/A
24-Sep-15,Illinois,Chicago,5100 block of South Morgan Street,0,5,N/A
23-Sep-15,Louisiana,Shreveport,2900 block of Peach Street,0,5,N/A
23-Sep-15,Florida,Fort Myers,Dale Street and Veronica S. Shoemaker Boulevard,0,4,N/A
23-Sep-15,Georgia,Norcross,1300 block of Reddington Lane,1,3,N/A
20-Sep-15,Pennsylvania,Philadelphia,900 block of Pratt Street,1,3,N/A
20-Sep-15,Illinois,Chicago,5700 block of South LaSalle,1,5,N/A
20-Sep-15,Oklahoma,Tulsa,Pine and Yale,0,6,N/A
19-Sep-15,Indiana,Indianapolis,3900 block of Graceland Avenue,1,3,N/A
17-Sep-15,South Dakota,Geddes,36705 379th Street,6,0,N/A
17-Sep-15,Michigan,Albion,500 block of W. Broadwell Street,0,4,N/A
15-Sep-15,New Jersey,Newark,Irvine Turner Boulevard and West Kinney Street,0,4,N/A
13-Sep-15,Florida,Ocala,1910 South Pine Avenue,1,5,N/A
12-Sep-15,Louisiana,Shreveport,1500 block of Clanton Street,0,4,N/A
12-Sep-15,New York,Rochester,36 Woodward Street,2,4,N/A
12-Sep-15,Minnesota,Minneapolis,1st Ave. and N. 5th St.,0,6,N/A
12-Sep-15,Minnesota,Minneapolis,1200 block of 22nd Ave. N.,1,3,N/A
11-Sep-15,North Carolina,Charlotte,1000 North Carolina Music Factory Blvd.,0,5,N/A
10-Sep-15,Minnesota,Excelsior (Greenwood),Channel Drive,5,0,N/A
8-Sep-15,Georgia,Berlin,N/A,0,4,N/A
8-Sep-15,Illinois,Chicago,56th and Green,0,4,N/A
7-Sep-15,Indiana,Gary,9300 block of Sunrise,2,4,N/A
7-Sep-15,Colorado,Denver,1909 Blake Street,0,4,N/A
5-Sep-15,North Carolina,Charlotte,6800 block of Fieldvale Place,1,3,N/A
5-Sep-15,Florida,Daytona Beach,300 block of Pearl Street,0,4,N/A
5-Sep-15,Nevada,Las Vegas,5000 block of Hollywood Boulevard,1,3,N/A
5-Sep-15,Missouri,Columbia,1509 Ashley Street,0,4,N/A
30-Aug-15,Tennessee,Memphis,3300 block of Sobota Circle,1,4,N/A
29-Aug-15,Tennessee,Bristol,618 Henson Road,3,2,N/A
29-Aug-15,Texas,Tyler,638 ENE Loop 323,1,3,N/A
28-Aug-15,New York,Brooklyn,589 Flatbush Avenue,1,3,N/A
27-Aug-15,California,Salinas,928 Blanco Circle,2,2,N/A
26-Aug-15,Illinois,Chicago,3025 W. Van Buren Ave,2,2,N/A
26-Aug-15,Minnesota,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,0,4,N/A
26-Aug-15,Florida,West Palm Beach,800 block of 19th Street,2,2,N/A
25-Aug-15,Louisiana,New Orleans,Fern Street and Olive Street,1,3,N/A
23-Aug-15,California,Modesto,1100 block of Kansas Avenue,1,7,N/A
22-Aug-15,Florida,Orlando (Pine Hills),State Road 408,0,4,N/A
22-Aug-15,New Mexico,Roswell,302 East Reed Street,3,1,N/A
21-Aug-15,North Carolina,Durham,2700 block of Hinson Drive,0,8,N/A
21-Aug-15,Ohio,Cincinnati,Mathis and Prentice,2,5,N/A
20-Aug-15,Texas,Grulla (La Grulla),FM 2360,2,2,N/A
19-Aug-15,New York,Rochester,500 Genesee St,3,4,N/A
16-Aug-15,Texas,Fort Worth,3651 Sycamore School Rd,0,6,N/A
16-Aug-15,Illinois,Chicago,5400 block of West Division Street,0,4,N/A
16-Aug-15,South Carolina,Bennettsville,Highway 38N,0,5,N/A
15-Aug-15,Pennsylvania,Pittsburgh,West Prospect Avenue,1,3,N/A
15-Aug-15,California,Los Angeles,57th Street and South Normandie Avenue,0,4,N/A
15-Aug-15,South Carolina,Orangeburg,2868 Bamberg Road,1,3,N/A
10-Aug-15,California,Long Beach,1700 block of East 10th Street,0,4,N/A
9-Aug-15,Mississippi,Forest,Poplar Street,1,3,N/A
9-Aug-15,Michigan,Detroit,15200 block of Hazelridge,1,3,N/A
9-Aug-15,Missouri,Kansas City,40th Street and Pennsylvania Avenue,0,4,N/A
8-Aug-15,North Carolina,Gastonia,4908 Greenwood Drive,2,3,N/A
8-Aug-15,Arkansas,Blytheville,833 Anderson Street,1,11,N/A
8-Aug-15,Texas,Houston,2211 Falling Oaks,8,0,N/A
7-Aug-15,Vermont,Barre (Berlin),3182 Airport Rd,4,0,N/A
6-Aug-15,South Carolina,Columbia,1505 Garden Plaza,0,4,N/A
4-Aug-15,Missouri,Saint Louis,2500 block of Semple,1,4,N/A
3-Aug-15,New York,Brooklyn,98 Dwight Street,0,5,N/A
2-Aug-15,New York,Brooklyn,Stanley Avenue and Crescent Street,0,9,N/A
2-Aug-15,Maryland,Baltimore,2700 block of Garrison Avenue,0,7,N/A
2-Aug-15,Illinois,Chicago,4800 block of West Kamerling Avenue,1,4,N/A
2-Aug-15,Georgia,Savannah,Barnard Street,0,5,N/A
2-Aug-15,Illinois,Chicago,6700 block of South Winchester Avenue,0,4,N/A
1-Aug-15,Florida,Orlando,5801 Shenandoah Way,0,4,N/A
30-Jul-15,Pennsylvania,Pittsburgh,Brushton Avenue,0,4,N/A
27-Jul-15,Illinois,Rockford,900 block of Kent Street,0,5,N/A
26-Jul-15,Missouri,Kansas City,Thompson and Colorado,2,3,N/A
26-Jul-15,Louisiana,New Orleans,Piety and Treasure street,0,4,N/A
25-Jul-15,Virginia,Hopewell,500 block of N. 7th Ave,0,4,N/A
24-Jul-15,Pennsylvania,Erie,200 block of W 29th St,2,5,N/A
23-Jul-15,Louisiana,Lafayette,3141 Johnson Street,3,9,N/A
22-Jul-15,Missouri,Saint Louis,Fair Ave and Ashland Ave,0,6,N/A
22-Jul-15,Georgia,Suwanee,5500 block of Old Atlanta Road,5,0,N/A
21-Jul-15,Florida,Miami Gardens,Northwest 25th Avenue and Miami Gardens Drive,1,3,N/A
20-Jul-15,New York,Bronx,E. 153rd St. and the Grand Concourse,0,6,N/A
19-Jul-15,Virginia,Suffolk,100 block of North Capitol Street,0,4,N/A
19-Jul-15,Kentucky,Louisville,2928 W Kentucky St,0,6,N/A
19-Jul-15,North Carolina,Rocky Mount,Interstate 64 and Raliegh Street,0,4,N/A
18-Jul-15,California,San Diego,200 block of South Bancroft Street,0,4,N/A
18-Jul-15,California,Santa Paula,Ojai-Santa Paula Street,0,5,N/A
18-Jul-15,Oregon,Salem,1550 Weston Ct NE,1,4,N/A
18-Jul-15,Louisiana,Baton Rouge,300 block of Brice Street,2,2,N/A
17-Jul-15,Illinois,Chicago,4400 block of W. Maypole,0,5,N/A
17-Jul-15,Ohio,Cincinnati (Westwood),3100 block of Sunshine Avenue,0,4,N/A
16-Jul-15,Tennessee,Chattanooga,4051 Amnicola Highway,6,2,N/A
16-Jul-15,Texas,Dallas,Singleton and Hampton,0,5,N/A
15-Jul-15,Georgia,Atlanta,500 block of Center Hill Avenue,0,5,N/A
15-Jul-15,Maryland,Baltimore,3500 block of West Garrison Boulevard,1,3,N/A
15-Jul-15,Ohio,Cleveland,700 block of Thornhill,0,7,N/A
15-Jul-15,Michigan,Detroit,9200 block of Memorial,0,4,N/A
15-Jul-15,South Carolina,Holly Hill,7050 Old State Road,4,1,N/A
14-Jul-15,Missouri,Saint Louis,1100 block of Riverview,0,4,N/A
13-Jul-15,California,Norwalk,11959 162nd Street,0,4,N/A
13-Jul-15,California,Stockton,400 block of McCloud Avenue,1,4,N/A
12-Jul-15,Illinois,River Forest,116 Lathrop Avenue,2,3,N/A
12-Jul-15,New Jersey,Jersey City,Sip and Van Wagenen avenues,0,4,N/A
7-Jul-15,Ohio,Cleveland,East 162nd Street and Miles Avenue,1,3,N/A
7-Jul-15,Maryland,Baltimore,900 block of West Fayette Street,3,1,N/A
5-Jul-15,Louisiana,Shreveport,3500 block of Hearne Avenue,0,8,N/A
5-Jul-15,Indiana,Fort Wayne,1400 block of McCulloch Street,0,9,N/A
5-Jul-15,New Jersey,East Orange,200 block of S. Clinton St,1,3,N/A
4-Jul-15,District of Columbia,Washington,2600 Douglas Place SE,1,3,N/A
4-Jul-15,Kentucky,Louisville,2500 block of West Broadway,0,4,N/A
4-Jul-15,Massachusetts,Pittsfield,Dewey Avenue,1,4,N/A
4-Jul-15,New York,Syracuse,Bellevue and Rich Street,0,4,N/A
4-Jul-15,Texas,San Antonio,1100 block of West Avenue,0,4,N/A
2-Jul-15,Indiana,Indianapolis,500 block of Lynn St,1,3,N/A
29-Jun-15,Florida,Opa Locka,13450 NW 30th Ave,0,4,N/A
28-Jun-15,Michigan,Detroit,Gratiot and Loretto,0,5,N/A
28-Jun-15,Illinois,Venice,1430 Broadway,0,6,N/A
28-Jun-15,Delaware,Harrington,100 block of East St,0,6,N/A
27-Jun-15,Massachusetts,Taunton,Weir Street,1,3,N/A
27-Jun-15,Michigan,Detroit,Stringham Court,0,4,N/A
24-Jun-15,New York,New York (Manhattan),2110 Madison Ave,0,4,N/A
22-Jun-15,Pennsylvania,Philadelphia,700 block of East Hilton Street,0,7,N/A
21-Jun-15,Pennsylvania,Pittsburgh (Wilkinsburg),Rebecca and East Swissvale Avenue,0,4,N/A
21-Jun-15,Kentucky,Lexington,726 Georgetown St,1,4,N/A
20-Jun-15,North Carolina,Morven,6066 Robinson Bridge Rd,0,4,N/A
20-Jun-15,Michigan,Detroit,Dexter and Webb,1,11,N/A
20-Jun-15,Pennsylvania,Philadelphia,4100 block of Ogden Street,0,11,N/A
19-Jun-15,Rhode Island,Woonsocket,80 River Street,0,4,N/A
17-Jun-15,South Carolina,Charleston,110 Calhoun Street,9,0,N/A
16-Jun-15,Florida,Miami Gardens,600 block of Northwest 177th Street,0,4,N/A
15-Jun-15,New York,Brooklyn,673 Flatbush Avenue,0,4,N/A
14-Jun-15,New Jersey,Camden,2800 block of Mitchell Street,1,3,N/A
14-Jun-15,Oklahoma,Tulsa,1800 block of North Kingston,0,4,N/A
14-Jun-15,Missouri,Saint Louis,1400 block of North Market Street,0,4,N/A
13-Jun-15,Georgia,Fayetteville,600 block of Highway 279,1,4,N/A
13-Jun-15,Oklahoma,Oklahoma City,500 block of SE 69th St,0,4,N/A
13-Jun-15,Georgia,Milledgeville,451 North Flynn Street,1,3,N/A
13-Jun-15,New York,Bronx,2409 Creston Avenue,0,5,N/A
13-Jun-15,Ohio,Columbus,1623 E. Hudson Street,4,1,N/A
12-Jun-15,Florida,Allapattah,24th Avenue and 36th Street,0,4,N/A
11-Jun-15,Connecticut,Bridgeport,468 Trumbull Ave,1,8,N/A
11-Jun-15,Texas,Houston,3400 block of Burkett,1,3,N/A
10-Jun-15,California,Los Angeles,South Vermont Avenue and West 88th Street,1,3,N/A
9-Jun-15,Missouri,Saint Louis,North Market Street and North Spring Avenue,1,3,N/A
7-Jun-15,Montana,Deer Lodge,Boulder Creek Road,5,0,N/A
6-Jun-15,New York,Buffalo,100 block of Warren Avenue,1,4,N/A
6-Jun-15,Illinois,Chicago,100 block of North Lorel Avenue,0,5,N/A
5-Jun-15,Iowa,Davenport,900 block of West 3rd St,0,5,N/A
5-Jun-15,Louisiana,New Orleans,2100 block of Governor Nicholls Street,1,3,N/A
3-Jun-15,New York,Wyandanch,Davidson Street,3,1,N/A
31-May-15,Ohio,Cleveland,16209 block of Laverne Avenue,3,1,N/A
31-May-15,Maryland,Springdale,9222 Ardwick Ardmore Road,1,3,N/A
31-May-15,Connecticut,New Haven,849 Chapel Street,0,5,N/A
31-May-15,Georgia,Conyers,4669 Bell Road SE,3,2,N/A
30-May-15,California,San Diego,4200 block of Market Street,0,4,N/A
28-May-15,Nebraska,Omaha,84th and Q,0,4,N/A
28-May-15,Illinois,Chicago,6200 block of South Honore Street,0,5,N/A
28-May-15,Pennsylvania,Chester,2700 block of West 3rd Street,1,3,N/A
26-May-15,Louisiana,New Orleans,6700 block of Tara Lane,2,2,N/A
25-May-15,Illinois,Decatur,1816 N Water,1,4,N/A
24-May-15,Massachusetts,Brockton,1002 Main St,0,5,N/A
24-May-15,Michigan,Flint,W. 12th Street and Hammerberg Road.,0,7,N/A
24-May-15,Alabama,Montgomery,Smiley Court,1,3,N/A
24-May-15,Missouri,Saint Louis,2700 block of Dayton,0,4,N/A
23-May-15,California,Fresno,2400 block of South 9th Street,2,2,N/A
20-May-15,Maryland,Baltimore,800 block of Linwood Avenue,1,3,N/A
18-May-15,Missouri,Kinloch,8000 block of School Way,0,4,N/A
18-May-15,Florida,Miami,Northwest 75th Street and Northwest 16th Avenue,1,4,N/A
17-May-15,Texas,Waco,4671 S Jack Kultgen Fwy,9,18,N/A
16-May-15,Wisconsin,Milwaukee,28th Street and Auer Avenue,0,5,N/A
16-May-15,New York,Rochester,188 Lewis Street,0,4,N/A
16-May-15,Maryland,Baltimore,1700 block of North Broadway,0,5,N/A
12-May-15,Maryland,Capitol Heights,Pard Road,1,4,N/A
12-May-15,Arizona,Tucson,800 block of West Calle Medina Road,5,0,N/A
10-May-15,Ohio,Cleveland,3600 block of Bosworth Rd,1,4,N/A
10-May-15,New Jersey,Jersey City,Bostwick Avenue,0,4,N/A
10-May-15,New Jersey,Newark,19th Avenue and South 16th Street,1,3,N/A
7-May-15,Ohio,Cincinnati,2300 block of Baltimore Avenue,0,4,N/A
7-May-15,Michigan,Detroit,16000 block of Cathedral Street,0,4,N/A
4-May-15,New York,Buffalo,100 block of Roosevelt Avenue,1,3,N/A
3-May-15,Indiana,South Bend,1600 block of South William Street,0,4,N/A
3-May-15,Texas,Houston,San Jacinto at Elgin,0,6,N/A
3-May-15,New York,Bronx,University Avenue,0,4,N/A
3-May-15,Ohio,Dayton,2801 Germantown Street,1,6,N/A
3-May-15,Wisconsin,Menasha,Friendship Trail,4,1,N/A
1-May-15,Wisconsin,Milwaukee,3700 block of 37th Street,2,3,N/A
27-Apr-15,New York,Brooklyn,1365 Flatbush Ave,2,4,N/A
27-Apr-15,Arizona,Gila Bend,State Route 85,2,2,N/A
25-Apr-15,New Jersey,Trenton,Wood Street,0,4,N/A
25-Apr-15,New York,Gates,24 Hinchey Rd,1,6,N/A
21-Apr-15,Texas,Killeen,420 Gilmer St,2,3,N/A
19-Apr-15,Virginia,Richmond,200 block of West Hill Street,0,4,N/A
18-Apr-15,Alabama,Montgomery,1800 block of Gibbs Court,0,5,N/A
18-Apr-15,Pennsylvania,Williamsport,321 Pine St,0,5,N/A
18-Apr-15,North Carolina,Lumberton,Martin Luther King Drive,1,3,N/A
18-Apr-15,North Carolina,Charlotte,Bost Street,0,4,N/A
18-Apr-15,New Jersey,Paterson,Rosa Parks Blvd and Godwin Ave,1,3,N/A
16-Apr-15,Arizona,Phoenix,4300 block of East Anderson Drive,5,0,N/A
7-Apr-15,Georgia,Rome,20 Copeland Street,1,3,N/A
5-Apr-15,Pennsylvania,Pittsburgh,Dinwiddie Street,1,3,N/A
5-Apr-15,Kentucky,Louisville,40th and Grand Street,1,4,N/A
5-Apr-15,Indiana,Indianapolis,5000 block of Wildflower Court,0,5,N/A
5-Apr-15,Michigan,Benton Harbor,1000 block of Blossom Lane,0,4,N/A
3-Apr-15,Florida,Daytona Beach,300 block of Henry Butts Drive,0,4,N/A
2-Apr-15,Maryland,Baltimore,1900 block of West Lanvale Street,0,5,N/A
27-Mar-15,Florida,Panama City Beach,5312 Thomas Drive,0,7,N/A
26-Mar-15,Texas,Amarillo,3100 block of Redwood,0,4,N/A
24-Mar-15,Indiana,Indianapolis,3100 block of North Harding Street,4,0,N/A
23-Mar-15,Tennessee,Clarksville,900 block of Carpenter Street,1,4,N/A
22-Mar-15,New Mexico,Albuquerque,10140 Lomas NE,1,6,N/A
21-Mar-15,Florida,Tampa,1802 Seventh Ave,0,4,N/A
20-Mar-15,Oklahoma,Oklahoma City,1300 block of N Stiles Ave,0,4,N/A
20-Mar-15,Texas,Lancaster,1500 block of Reynolds Street,1,5,N/A
18-Mar-15,New Jersey,Newark,200 block of Clinton Place,1,3,N/A
18-Mar-15,Arizona,Mesa,1504 West Main Street,1,5,N/A
17-Mar-15,California,Stockton,748 N Madison St,3,4,N/A
15-Mar-15,California,Compton,2700 block of West Alondra Boulevard,0,4,N/A
14-Mar-15,Georgia,Atlanta,2900 block of Delmar Lane,0,5,N/A
14-Mar-15,California,Coachella,84000 block of Bagdad Avenue,0,4,N/A
13-Mar-15,Mississippi,Brookhaven,1097 South First St.,2,3,N/A
10-Mar-15,Georgia,Columbus,3023 Victory Drive,0,5,N/A
9-Mar-15,Illinois,Chicago,200 block of West 105th,1,3,N/A
8-Mar-15,South Carolina,Seneca,Wells Highway,1,3,N/A
7-Mar-15,Missouri,Saint Louis,3140 Olive St,0,4,N/A
4-Mar-15,California,San Bernardino,190 block of W Club Center Dr,3,4,N/A
1-Mar-15,Florida,Orange County,4900 block of Steyr Street,0,4,N/A
1-Mar-15,Michigan,Detroit,9855 Chalmers St,1,5,N/A
28-Feb-15,Maryland,Baltimore,4300 block of Welbourne Road,1,3,N/A
26-Feb-15,Missouri,Tyrone,18279 Highway H,8,1,N/A
25-Feb-15,Texas,Houston,5022 Mallow St,3,1,N/A
23-Feb-15,Florida,Daytona Beach,Sheridan Road,0,4,N/A
22-Feb-15,Texas,Killeen,1706 Godman St.,4,1,N/A
22-Feb-15,Georgia,Clarkesville,281 Lower Pond Court,3,2,N/A
22-Feb-15,South Carolina,Charleston,4224 Dorchester Road,0,4,N/A
20-Feb-15,California,Sacramento,1417 R Street,0,4,N/A
17-Feb-15,Arkansas,Little Rock,7900 Scott Hamilton,1,3,N/A
15-Feb-15,California,Long Beach,200 block of W. 14th Street,0,5,N/A
9-Feb-15,Florida,New Port Richey,9552 Adler Street,3,1,N/A
8-Feb-15,Tennessee,Friendship,251 Dupree Rd,0,6,N/A
7-Feb-15,Georgia,Douglasville,3640 Willow Tree Circle,5,2,N/A
6-Feb-15,Oklahoma,Tulsa,1219 N. Sheridan Road,1,4,N/A
5-Feb-15,Ohio,Beachwood (Warrensville Heights),Harvard Road,3,3,N/A
1-Feb-15,New York,Syracuse,1217 West Fayette Street,0,6,N/A
1-Feb-15,New York,New York (Manhattan),3345 Broadway,1,4,N/A
31-Jan-15,Georgia,Lagrange,100 block of Woodstream Trail,4,0,N/A
28-Jan-15,Georgia,Dekalb County,1600 block of Panola Road,1,3,N/A
26-Jan-15,California,Stockton,1500 block of E. 9th Street,1,3,N/A
24-Jan-15,New York,Arverne (Queens),231-11 148th Avenue,4,1,N/A
24-Jan-15,Nebraska,Omaha,3402 Parker St,3,5,N/A
23-Jan-15,Massachusetts,Boston,954 Parker Street,0,6,N/A
20-Jan-15,Tennessee,Clarksville,321 Lansinger Lane,1,3,N/A
19-Jan-15,Texas,San Antonio,1000 block of Gibbs St.,2,5,N/A
13-Jan-15,Illinois,Rockford,700 block of Oakley Avenue,2,2,N/A
13-Jan-15,Virginia,Portsmouth,4100 block of Portsmouth Boulevard,0,5,N/A
11-Jan-15,North Carolina,Hope Mills,1900 block of Gumberry Road,2,5,N/A
11-Jan-15,Florida,Lakeland,7665 Chase Road,1,3,N/A
11-Jan-15,California,San Jose,3840 Monterey Hwy,0,5,N/A
10-Jan-15,Kansas,Wichita,4859 E Harry Street,2,2,N/A
9-Jan-15,California,San Francisco,Laguna St and Page St,4,0,N/A
8-Jan-15,Massachusetts,Boston,104 Harrishof Street,1,3,N/A
7-Jan-15,Tennessee,Chattanooga,773 West Main Street,1,3,N/A
6-Jan-15,Florida,Miami,1300 block of NW 62nd Street,1,3,N/A
4-Jan-15,Virginia,Roanoke,3634 Shenandoah Ave NW,2,4,N/A
4-Jan-15,Texas,Dallas,2000 block of Ben Hur St.,3,1,N/A
2-Jan-15,Georgia,Savannah,500 block of W. 54th Street,1,4,N/A
1-Jan-15,Tennessee,Memphis,Interstate 240 and Poplar Avenue,0,5,N/A
